ID,T_eff (K),T_eff error,log g,log g error,Gaia Source ID,Parallax (mas),Parallax Error (mas),Phot_g_mean_mag value,bp_rp value,RA (HMS),Dec (Degrees),Distance (pc),Lower Bound (pc),Upper Bound (pc),V-Band Apparent Magnitude,B-Band Apparent Magnitude
Tr 14-30,26100,1300,3.24,0.11,5350363497939741056,0.215053668,0.08332243197,9.859367,0.87650204,10 43 33.3501583360 ,-59 35 11.148529806,3866.896698,2900.591036,5519.05465,10.074,10.583
HD 111613*,9150,150,1.45,0.1,6056416676437740416,0.304103412,0.05998144266,5.557423,0.65694475,12 51 17.9762278922 ,-60 19 47.233954725,2979.432916,2504.885284,3655.658119,5.72,6.1
HD 92207 *(A),9500,200,1.2,0.1,5350668303173229824,0.4601446372,0.07668227248,5.2057366,0.8962817,10 37 27.0681943657 ,-58 44 00.015326487,2071.866822,1767.655222,2496.095908,5.45,5.95
HD 161695,9950,200,2.2,0.2,4598003837468318464,0.5273058281,0.04170084457,6.2028584,0.0676074,17 45 40.2349033846,31 30 16.847870445,1795.472348,1668.192932,1943.146988,6.24,6.213
HD 207673,9300,200,1.75,0.2,1960290835599977728,0.5135067827,0.02625413503,6.3228164,0.67802906,21 49 40.0940878996,41 08 55.627207171,1843.141761,1756.242264,1938.883482,6.48,6.9
HD 14489,9000,200,1.4,0.2,457487413730043904,0.7603019521,0.1138905739,5.0251026,0.5955467,02 22 21.4348174923 ,55 50 44.351770395,1283.344229,1109.890454,1518.253208,5.17,5.54
HD 210221,8200,150,1.3,0.2,2005264640760913536,0.4381166593,0.0293895117,6.018559,0.66809464,22 07 25.5853748300 ,53 18 26.771994597,2141.550602,2012.155951,2288.281666,6.171,6.555
HD 46300,9700,200,2.1,0.2,3324424744330466304,2.562450611,0.405821263,4.404881,0.0858717,06 32 54.2284145046 ,07 19 58.668312797,403.3350573,340.4653139,494.4229668,4.5,4.5
HD 148743,7800,500,1.15,0.3,4351018375858237952,0.3612025063,0.05570332694,6.347581,0.6080365,16 30 30.0184836547 ,-07 30 52.030314890,2581.506517,2238.759258,3042.070573,6.461,6.824
HD 13476,8400,150,1.2,0.2,506810435899344896,0.3266234046,0.03473709943,6.2295804,0.9259491,02 13 41.6106348614 ,58 33 38.103912891,2791.707004,2538.856223,3098.044263,6.43,7.04
